age,race,,,,,,,,,,,,
20,White,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
26,Black,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
47,Unknown race,,,,,,,,,,,,
41,White,,,,,,,,,,,,
51,Unknown race,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
40,White,,,,,,,,,,,,
30,Hispanic,,,,,,,,,,,,
42,Unknown race,,,,,,,,,,,,
65,Unknown race,,,,,,,,,,,,
50,Black,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
43,White,,,,,,,,,,,,
53,Unknown race,,,,,,,,,,,,
29,White,,,,,,,,,,,,
62,Unknown race,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
30,White,,,,,,,,,,,,
46,White,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
43,Unknown race,,,,,,,,,,,,
35,Unknown race,,,,,,,,,,,,
17,Unknown race,,,,,,,,,,,,
49,White,,,,,,,,,,,,
49,White,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
36,White,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
47,Unknown race,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
27,Unknown race,,,,,,,,,,,,
51,Hispanic,,,,,,,,,,,,
35,Unknown race,,,,,,,,,,,,
39,Hispanic,,,,,,,,,,,,
16,Unknown race,,,,,,,,,,,,
28,White,,,,,,,,,,,,
62,Black,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
37,Black,,,,,,,,,,,,
67,Unknown race,,,,,,,,,,,,
39,Unknown race,,,,,,,,,,,,
52,Black,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
24,White,,,,,,,,,,,,
52,Pacific Islander,,,,,,,,,,,,
34,White,,,,,,,,,,,,
31,White,,,,,,,,,,,,
55,White,,,,,,,,,,,,
49,White,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
57,Unknown race,,,,,,,,,,,,
49,White,,,,,,,,,,,,
39,Unknown race,,,,,,,,,,,,
50,Hispanic,,,,,,,,,,,,
54,Unknown race,,,,,,,,,,,,
27,White,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
39,Hispanic,,,,,,,,,,,,
69,Hispanic,,,,,,,,,,,,
33,Hispanic,,,,,,,,,,,,
31,Hispanic,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
62,White,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
25,Black,,,,,,,,,,,,
26,Hispanic,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
41,Unknown race,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
33,Unknown race,,,,,,,,,,,,
37,Unknown race,,,,,,,,,,,,
51,White,,,,,,,,,,,,
20,White,,,,,,,,,,,,
31,White,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
49,White,,,,,,,,,,,,
51,Black,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
49,White,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
57,White,,,,,,,,,,,,
45,White,,,,,,,,,,,,
57,Unknown race,,,,,,,,,,,,
62,Unknown race,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
52,Hispanic,,,,,,,,,,,,
41,White,,,,,,,,,,,,
39,Black,,,,,,,,,,,,
52,Unknown race,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
28,White,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
49,White,,,,,,,,,,,,
39,White,,,,,,,,,,,,
61,Unknown race,,,,,,,,,,,,
49,Black,,,,,,,,,,,,
56,White,,,,,,,,,,,,
21,Hispanic,,,,,,,,,,,,
57,White,,,,,,,,,,,,
43,White,,,,,,,,,,,,
32,Hispanic,,,,,,,,,,,,
65,White,,,,,,,,,,,,
19,Hispanic,,,,,,,,,,,,
24,White,,,,,,,,,,,,
35,Unknown race,,,,,,,,,,,,
25,Unknown race,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
32,White,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
45,Black,,,,,,,,,,,,
55,Unknown race,,,,,,,,,,,,
48,White,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
36,White,,,,,,,,,,,,
27,Unknown race,,,,,,,,,,,,
30,White,,,,,,,,,,,,
54,Unknown race,,,,,,,,,,,,
43,Unknown race,,,,,,,,,,,,
46,White,,,,,,,,,,,,
37,White,,,,,,,,,,,,
58,Hispanic,,,,,,,,,,,,
42,Unknown race,,,,,,,,,,,,
31,White,,,,,,,,,,,,
16,Black,,,,,,,,,,,,
52,Black,,,,,,,,,,,,
62,Hispanic,,,,,,,,,,,,
42,Black,,,,,,,,,,,,
49,White,,,,,,,,,,,,
41,Black,,,,,,,,,,,,
56,White,,,,,,,,,,,,
44,White,,,,,,,,,,,,
38,Black,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
42,White,,,,,,,,,,,,
38,White,,,,,,,,,,,,
27,White,,,,,,,,,,,,
53,White,,,,,,,,,,,,
17,Black,,,,,,,,,,,,
28,White,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
41,Hispanic,,,,,,,,,,,,
39,Unknown race,,,,,,,,,,,,
39,Unknown race,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
73,Unknown race,,,,,,,,,,,,
53,Hispanic,,,,,,,,,,,,
35,Black,,,,,,,,,,,,
36,Hispanic,,,,,,,,,,,,
35,White,,,,,,,,,,,,
52,Black,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
36,Unknown race,,,,,,,,,,,,
40,Unknown race,,,,,,,,,,,,
62,Unknown race,,,,,,,,,,,,
52,Hispanic,,,,,,,,,,,,
36,Unknown race,,,,,,,,,,,,
59,Unknown race,,,,,,,,,,,,
56,Unknown race,,,,,,,,,,,,
43,White,,,,,,,,,,,,
49,Black,,,,,,,,,,,,
20,Black,,,,,,,,,,,,
22,Black,,,,,,,,,,,,
37,White,,,,,,,,,,,,
30,Unknown race,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
69,White,,,,,,,,,,,,
46,White,,,,,,,,,,,,
46,Black,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
37,White,,,,,,,,,,,,
33,White,,,,,,,,,,,,
36,Hispanic,,,,,,,,,,,,
23,White,,,,,,,,,,,,
36,Unknown race,,,,,,,,,,,,
26,White,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
42,Unknown race,,,,,,,,,,,,
58,Unknown race,,,,,,,,,,,,
43,Unknown race,,,,,,,,,,,,
61,White,,,,,,,,,,,,
41,White,,,,,,,,,,,,
43,Black,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
21,White,,,,,,,,,,,,
58,White,,,,,,,,,,,,
17,White,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
47,Hispanic,,,,,,,,,,,,
53,White,,,,,,,,,,,,
49,Asian,,,,,,,,,,,,
26,White,,,,,,,,,,,,
39,Native American,,,,,,,,,,,,
38,Hispanic,,,,,,,,,,,,
39,Black,,,,,,,,,,,,
44,White,,,,,,,,,,,,
21,Hispanic,,,,,,,,,,,,
23,Black,,,,,,,,,,,,
67,Black,,,,,,,,,,,,
37,White,,,,,,,,,,,,
23,Asian,,,,,,,,,,,,
22,Hispanic,,,,,,,,,,,,
52,White,,,,,,,,,,,,
26,Unknown race,,,,,,,,,,,,
61,White,,,,,,,,,,,,
34,Black,,,,,,,,,,,,
24,White,,,,,,,,,,,,
40,White,,,,,,,,,,,,
37,Black,,,,,,,,,,,,
69,Unknown race,,,,,,,,,,,,
19,White,,,,,,,,,,,,
76,White,,,,,,,,,,,,
54,White,,,,,,,,,,,,
33,White,,,,,,,,,,,,
41,Hispanic,,,,,,,,,,,,
50,Black,,,,,,,,,,,,
18,Hispanic,,,,,,,,,,,,
50,White,,,,,,,,,,,,
35,White,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
50,White,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
43,White,,,,,,,,,,,,
34,White,,,,,,,,,,,,
61,White,,,,,,,,,,,,
19,Black,,,,,,,,,,,,
29,White,,,,,,,,,,,,
41,White,,,,,,,,,,,,
26,Hispanic,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
